date,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire Sint Eustatius and Saba,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faeroe Islands,Falkland Islands,Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia (country),Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Vatican,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
2020-02-01,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,2088,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,3,,,,,,,,,,,,1,,,0,,,,,,,0,,5,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,3,,,,,,1,,1,0,,,1,,,0,,,0,,,,,,,,,,0,0,0,,,,,,4,,,,
2020-02-02,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,4736,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,2,,,,,,,,,,,,2,,,1,,,,,,,0,,0,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,2,,,,,,3,,0,0,,,0,,,0,,,0,,,,,,,,,,1,0,0,,,,,,0,,,,
2020-02-03,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,3086,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,2,,,,,,,,,,,,0,,,1,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,0,,0,0,,,0,,,0,,,0,,,,,,,,,,0,6,3,,,,,,2,,,,
2020-02-04,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,0,,0,,,,,,3987,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,2,,,0,,,,,,,0,,2,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,6,,,,,,1,,0,0,,,0,,,1,,,6,,,,,,,,,,0,0,0,,,,,,0,,,,
2020-02-05,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,0,,1,,,,,,3729,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,4,,,0,,,,,,,0,,1,,,,,,,,,,,,,,,,,0,,,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,4,,,,,,3,,0,0,,,0,,,0,,,0,,,,,,,,,,0,1,0,,,,,,0,,,,
2020-02-06,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,0,,0,,,,,,3144,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,3,,,0,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,4,,0,0,,,0,,,5,,,0,,,,,,,,,,0,0,1,,,,,,2,,,,
2020-02-07,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,0,,2,,,,,,3522,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,1,,,,,,,,,,,,1,,,0,,,,,,,1,,0,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,2,,,,,,1,,0,0,,,0,,,0,,,0,,,,,,,,,,0,0,0,,,,,,0,,,,
2020-02-08,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,0,,0,,,,,,2703,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,,0,,,,,,,,,,,,1,,,0,,,,,,,0,,1,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,3,,,,,,0,,0,0,,,0,,,1,,,7,,,,,,,,,,2,4,0,,,,,,3,,,,
2020-02-09,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,0,,0,,,,,,3012,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,1,,,,,,,,,,,,3,,,0,,,,,,,0,,0,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,7,,,,,,1,,1,0,,,0,,,1,,,0,,,,,,,,,,0,1,0,,,,,,0,,,,
2020-02-10,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,0,,0,,,,,,2516,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,9,,,0,,,,,,,0,,2,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,5,,,,,,2,,0,0,,,0,,,0,,,0,,,,,,,,,,1,0,0,,,,,,1,,,,
2020-02-11,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,0,,0,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,2,,,,,,,,,,,,11,,,0,,,,,,,0,,1,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,2,,,,,,1,,0,0,,,0,,,0,,,1,,,,,,,,,,0,1,1,,,,,,1,,,,
2020-02-12,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,0,,0,,,,,,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,1,,,0,,,,,,,0,,1,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,3,,,,,,0,,0,0,,,0,,,0,,,0,,,,,,,,,,0,1,0,,,,,,0,,,,
2020-02-13,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,0,,0,,,,,,15133,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,3,,,0,,,,,,,0,,5,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,8,,,,,,0,,0,0,,,0,,,0,,,0,,,,,,,,,,0,1,1,,,,,,1,,,,
2020-02-14,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,0,,0,,,,,,6460,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,3,,,0,,,,,,,0,,10,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,9,,,,,,0,,0,0,,,0,,,0,,,0,,,,,,,,,,0,1,0,,,,,,0,,,,
2020-02-15,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,0,,0,,,,,,2055,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,1,,,,,0,,,,,,,,,,,,0,,,0,,,,,,,0,,11,,,,,,,,,,,,,,,,,0,,,3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,5,,,,,,0,,0,0,,,0,,,0,,,1,,,,,,,,,,0,0,0,,,,,,0,,,,
2020-02-16,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,0,,0,,,,,,2099,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,1,,,0,,,,,,,0,,6,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,3,,,,,,1,,0,0,,,0,,,2,,,0,,,,,,,,,,1,0,0,,,,,,0,,,,
2020-02-17,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,0,,1,,,,,,1918,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,3,,,0,,,,,,,0,,7,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,2,,,,,,1,,0,0,,,0,,,2,,,1,,,,,,,,,,0,1,0,,,,,,0,,,,
2020-02-18,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,0,,0,,,,,,1775,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,2,,,0,,,,,,,0,,12,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,4,,,,,,1,,0,0,,,0,,,0,,,0,,,,,,,,,,0,0,0,,,,,,0,,,,
2020-02-19,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,0,,0,,,,,,407,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,1,,,0,,2,,,,,0,,6,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,3,,,,,,0,,0,0,,,0,,,1,,,0,,,,,,,,,,0,1,0,,,,,,0,,,,
2020-02-20,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,0,,0,,,,,,453,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,5,,,0,,3,,,,,0,,10,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,73,,0,0,,,0,,,1,,,0,,,,,,,,,,0,2,0,,,,,,0,,,,
2020-02-21,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,0,,1,,,,,,473,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,0,,,0,,13,,,,1,17,,17,,,,,,,,,,1,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,1,,,,,,100,,0,0,,,0,,,2,,,0,,,,,,,,,,0,1,2,,,,,,0,,,,
2020-02-22,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,0,,0,,,,,,1450,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,1,,,0,,10,,,,0,42,,25,,,,,,,,,,0,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,229,,0,0,,,0,,,0,,,0,,,,,,,,,,4,0,0,,,,,,0,,,,
2020-02-23,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,0,,0,,,,,2,16,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,5,,,0,,15,,,,0,93,,12,,,,,,,,,,0,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,4,,,,,,169,,0,0,,,0,,,2,,,0,,,,,,,,,,0,5,0,,,,,,0,,,,
2020-02-24,5,,,,,,,,,,0,,,,1,,,,0,,,,,,,,,,,,,,,0,,1,,,,,0,214,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,5,,,0,,18,1,,,0,74,,11,,,,,,1,,,,0,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,2,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,231,,0,0,,,0,,,2,,,0,,,,,,,,,,0,2,0,,,,,,0,,,,
2020-02-25,0,,1,,,,,,,,0,2,,,22,,,,0,,,,,,,,,,,,,,,0,,2,,,,,0,508,,,,,,,1,,,,,,,,,,,0,,,,,,,,,,0,2,,,,,1,,,,,,,,,,,,5,,,0,,34,0,,,0,93,,13,,,,,,10,,,,0,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,2,,,,,,,0,,,,,0,,,,,,,,,,,,,,,2,,,,,,144,,4,0,,,0,1,,1,,,2,,,,,,,,,,0,4,0,,,,,,0,,,,
2020-02-26,0,,0,,,,,,,,0,0,,,10,,,,0,,,,,,,,,1,,,,,,0,,0,,,,,0,405,,,,,,,2,,,,,,,,,,,0,,,,,,,,,,1,4,,,,1,10,,,1,,,,,,,,,7,,,0,,44,4,,,1,131,,19,,,,,,15,,,,1,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,1,1,2,0,,,,,,,0,,,,1,0,,,,,,,,,,,,,,,2,,,,,,284,,7,0,,,1,0,,1,,,3,,,,,,,,,,0,3,0,,,,,,0,,,,
2020-02-27,0,,0,,,,,,,,0,1,,,0,,,,0,,,,,,,,,0,,,,,,0,,2,,,,,0,433,,,,,,,0,,,,,,1,,,,,0,,,,1,,,,,,0,20,,,,0,19,,,2,,,,,,,,,1,,,0,,106,2,,,1,202,,26,,,,,,17,,,,0,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,0,1,,,,,,0,0,0,0,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,0,,,,,,505,,2,0,,,1,7,,0,,,0,,,,,,,,,,0,7,1,,,,,,0,,,,
2020-02-28,0,,0,,,,,,,,0,0,,,3,,,1,0,,,,,,,,,0,,,,,,0,,1,,,,,0,326,,,,,,,2,,,,,,0,,,,,0,,,,0,,,,,,0,19,,,,0,2,,,1,,,,,,,,,2,,1,0,,143,0,,,3,233,,18,,,,,,2,,,,0,,,,,,,0,,,2,,,,,,,1,,,,,,,,,,,0,0,,1,,,1,0,5,0,2,,,,,,,0,,,,2,0,,,,,,,,,,,,,,,0,,,,,,571,,17,0,,,8,0,,2,,,1,,,,,,,,,,6,12,0,,,,,,0,,,,
2020-02-29,0,,0,,,,,,,,10,6,,,5,,,0,0,,,,,,,,,1,,,,,,0,,6,,,,,0,427,,,,,,,1,,,,,,2,,,,,0,,,,0,,,,,,1,43,,,,0,31,,,0,,,,,,,,,1,,0,0,,205,6,1,,0,240,,9,,,,,,0,,,,2,,,,,1,1,0,,,4,,,,,,,3,,,1,,,,,,,,0,5,,0,,,0,0,9,2,0,,,,,,,0,,,1,0,0,,,,,,,,1,,,,,,,9,,,,,,813,,13,0,,,3,10,,5,,,1,,,,,,,,,,2,5,8,,,,,,0,,,,
2020-03-01,0,,0,,,,,,1,,2,5,3,,6,,,0,1,,,,,,,,,0,,,,,,0,,5,,,,,7,575,,,,,,,1,,,,3,,1,,,1,6,1,,,,0,,,,,,3,30,,,,2,51,,,3,,,,,,,,,1,,2,0,,385,6,0,,1,566,,14,,,,,,0,,,,6,,,,,0,0,0,,,0,,,,,,,1,,,0,,,,,,,,0,4,,0,,,0,0,4,0,0,,,,,,,0,,,2,0,0,,,,,,,,0,,,,,,,4,,,,,,586,,39,0,,,0,9,,1,,,0,,,,,,,,,,0,33,7,,,,,,0,,,,
2020-03-02,0,,2,1,,,,,0,,3,4,0,,2,,,0,6,,,,,,,,,0,,,,,,0,,6,,,,,0,200,,,,,,,0,,,,0,,0,,,0,0,0,,,,0,,,,,,0,61,,,,0,29,,,0,,,,,,,,,4,,3,2,2,523,7,0,,5,342,,19,,,,,,11,,,1,3,,,,,0,0,0,,,0,,,,,,,0,,,0,,,,1,,,,0,8,,0,,,0,0,6,0,1,,,,,,,0,,2,0,0,1,,,,,,,,0,,1,1,,,,2,,,,,,599,,36,0,,,5,15,,1,,,1,,,,,,,,,,0,40,23,,,,,,0,,,,
2020-03-03,0,,2,0,,,,1,0,,9,3,0,,0,,,0,5,,,,,,,,,0,,,,,,0,,5,,,,,1,125,,,,,,,2,,,,2,,2,,,0,1,0,,,,1,,,,,,0,21,,,,0,37,,,0,,,,,,,,,0,,5,0,0,835,6,1,,3,466,,20,1,,,,,0,,,0,0,,,,,0,0,0,,,7,,,,,,,0,,,0,,,,0,,,,0,6,,0,,,0,0,7,6,0,,,,,,,0,,0,4,0,0,,,,,,,,8,,0,1,,,,2,,,,,,851,,45,0,,,13,14,,1,,,0,,,,,,,,,1,6,55,19,,,,,,0,,,,
2020-03-04,0,,7,0,,,,0,0,,13,8,0,,3,,,5,10,,,,,,,,,2,,,,,,0,,5,,,,,0,120,,,,,,,1,,,,3,,4,,,0,3,0,,,,0,,,1,,,0,76,,,,0,66,,1,2,,,,,,,,,5,2,15,23,0,586,3,4,,0,587,,35,0,,,,,0,,,0,0,,,,1,0,0,0,,,14,,,,,,,0,,,0,,,,0,,,,0,14,,2,,,0,0,24,3,0,,,,,,,0,1,3,1,1,0,,,,,,,,0,,0,2,,,,0,,,,,,435,,57,0,,,30,34,,0,,,0,,,,,1,,,,0,0,56,33,,,,,,0,,,,
2020-03-05,0,,0,0,,,,0,0,,3,12,3,,3,,,0,27,,,,,,,2,,0,,,,,,0,,4,,,,,3,151,,,,,,,0,,,,4,,0,,,0,3,1,,,,1,,,0,,,6,138,,,,1,220,,0,22,,,,,,,,,0,0,8,2,0,591,0,0,,6,769,,32,0,,,,,2,,,0,3,,,,0,0,0,0,,,5,,,,,,,0,,,0,,,,1,,,,0,44,,0,,,0,0,31,1,1,,4,,,,,0,0,3,0,2,1,,,,,,,,7,,4,0,,,,7,,2,,,1,467,,37,0,,,25,24,,2,,,4,,,,,0,,,,0,2,49,77,,,,,,0,,,,
